age_A,age_B,height_A,height_B,reach_A,reach_B,is_orthodox_A,is_orthodox_B,is_southpaw_A,is_southpaw_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result_A,result_B,result_T
25,27,174,175,180,183,1,1,0,0,140,139,26,29,1,1,0,1,18,15,0,1,0
23,26,175,175,178,183,0,0,1,1,140,141,28,28,2,1,1,0,22,14,0,0,1
26,25,168,175,175,183,1,1,0,0,139,138,24,27,0,0,0,0,11,13,1,0,0
24,33,175,168,183,178,1,1,0,0,140,140,25,19,0,1,0,0,12,11,1,0,0
24,31,175,173,183,183,1,1,0,0,141,141,24,24,0,13,0,3,11,8,1,0,0
22,29,175,178,183,180,1,1,0,0,141,141,19,17,0,5,0,1,8,5,1,0,0
22,22,175,173,183,178,1,1,0,0,141,140,18,24,0,25,0,2,8,6,1,0,0
22,25,175,173,183,170,1,1,0,0,141,142,16,16,0,2,0,1,7,3,1,0,0
21,25,175,170,183,183,1,1,0,0,144,146,13,11,0,3,0,0,6,1,1,0,0
21,26,175,165,183,170,1,1,0,0,138,144,8,7,0,8,0,1,5,3,1,0,0
21,30,175,175,185,178,1,1,0,0,145,146,8,20,0,12,0,1,4,4,1,0,0
21,29,175,170,185,185,1,1,0,0,145,146,4,5,0,4,0,1,2,4,1,0,0
23,28,168,174,163,178,0,0,1,1,126,126,19,23,0,1,0,1,11,16,1,0,0
21,23,168,163,163,169,0,0,1,1,124,122,8,5,0,3,0,0,6,4,1,0,0
21,30,168,162,163,165,0,0,1,1,122,121,7,18,0,12,0,4,5,10,1,0,0
26,35,187,180,192,184,0,0,1,1,174,174,19,28,0,0,0,0,14,17,1,0,0
24,36,187,189,192,193,0,0,1,1,175,178,15,25,0,7,0,1,11,12,1,0,0
21,23,168,170,170,183,0,0,1,1,128,127,11,17,1,1,0,0,2,11,1,0,0
25,32,168,179,175,180,1,1,0,0,141,140,29,27,1,5,0,0,22,22,1,0,0
22,25,168,168,175,178,1,1,0,0,130,130,22,23,0,0,0,2,18,7,1,0,0
21,22,168,175,175,180,1,1,0,0,138,134,16,11,0,1,0,1,13,5,1,0,0
20,22,168,165,175,173,1,1,0,0,130,129,15,10,0,4,0,3,12,3,1,0,0
20,23,168,173,175,178,1,1,0,0,136,137,13,9,0,7,0,3,10,1,1,0,0
22,29,166,166,161,172,1,1,0,0,118,118,28,32,1,9,0,1,26,23,1,0,0
17,22,166,165,161,175,1,1,0,0,112,113,10,5,0,1,0,1,9,1,1,0,0
35,35,166,168,165,174,1,1,0,0,133,133,26,23,1,12,0,0,17,13,0,1,0
24,32,170,168,180,174,1,1,0,0,127,128,23,21,0,11,0,0,10,12,0,1,0
29,30,168,171,174,170,1,1,0,0,126,126,14,12,10,1,0,0,8,8,1,0,0
22,23,163,163,163,170,1,1,0,0,108,108,16,18,2,0,0,1,10,13,1,0,0
26,30,178,178,177,183,0,0,1,1,139,138,10,39,0,5,0,0,9,15,1,0,0
